"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2024-03-22,2555.43,2531.25,2534.34,NA,1,NA
2024-03-21,2551.09,2524.61,2550.5,NA,1,NA
2024-03-20,2519.03,2495.14,2510.44,NA,1,NA
2024-03-19,2515.12,2495.75,2514.92,NA,1,NA
2024-03-18,2536.18,2502.06,2504.8,NA,1,NA
2024-03-13,2531.8,2512.93,2527.46,NA,1,NA
2024-03-12,2526.09,2488.6,2521.91,NA,1,NA
2024-03-11,2481.5,2466.75,2479.35,NA,1,NA
2024-03-08,2495.85,2471.44,2487.7,NA,1,NA
2024-03-07,2478.76,2440.9,2471.57,NA,1,NA
2024-03-06,2462.73,2442.67,2460.81,NA,1,NA
2024-03-04,2465.31,2448.22,2455.36,NA,1,NA
2024-03-01,2472.75,2456.41,2461.49,NA,1,NA
2024-02-29,2459.91,2440.44,2452.81,NA,1,NA
2024-02-28,2451.43,2438.96,2447.21,NA,1,NA
2024-02-27,2444.2,2432.41,2442.22,NA,1,NA
2024-02-26,2443.46,2430.71,2438.64,NA,1,NA
2024-02-23,2437.16,2417.13,2435.45,NA,1,NA
2024-02-22,2442.31,2419.93,2426.38,NA,1,NA
2024-02-21,2417.71,2403.17,2414.97,NA,1,NA
2024-02-20,2417.03,2402.28,2414.79,NA,1,NA
2024-02-19,2414.02,2401,2410.33,NA,1,NA
2024-02-16,2415.19,2392.59,2408.92,NA,1,NA
2024-02-15,2389.63,2374.3,2385.24,NA,1,NA
2024-02-14,2366.14,2348.87,2362.07,NA,1,NA
2024-02-13,2366.1,2339.81,2352.77,NA,1,NA
2024-02-12,2368.74,2357.31,2367.5,NA,1,NA
2024-02-09,2366.89,2345.7,2352.42,NA,1,NA
2024-02-08,2365.93,2352.47,2358.49,NA,1,NA
2024-02-07,2365.13,2353.17,2356.43,NA,1,NA
2024-02-06,2360.7,2339.63,2357.52,NA,1,NA
2024-02-05,2368.17,2336.2,2339.89,NA,1,NA
2024-02-02,2384.99,2367.9,2367.9,NA,1,NA
2024-02-01,2380.2,2349.95,2364.81,NA,1,NA
2024-01-31,2371.24,2355.75,2356.6,NA,1,NA
2024-01-30,2379.78,2361.97,2368.36,NA,1,NA
2024-01-29,2376.84,2353.59,2368.06,NA,1,NA
2024-01-26,2372.03,2346.31,2370.13,NA,1,NA
2024-01-25,2364.1,2336.06,2362.73,NA,1,NA
2024-01-24,2363.39,2343.79,2351.1,NA,1,NA
2024-01-23,2345.14,2324.58,2337.48,NA,1,NA
2024-01-22,2333.84,2314.87,2330.55,NA,1,NA
2024-01-18,2316.39,2293.73,2309.95,NA,1,NA
2024-01-17,2302.54,2285.87,2297.85,NA,1,NA
2024-01-16,2330.8,2315.85,2323.79,NA,1,NA
2024-01-15,2360.75,2334.45,2340.47,NA,1,NA
2024-01-12,2360.56,2342,2355.96,NA,1,NA
2024-01-11,2367.53,2333.31,2336.25,NA,1,NA
2024-01-10,2347.94,2335.31,2341.94,NA,1,NA
2024-01-09,2361.72,2332.79,2344.72,NA,1,NA
2024-01-08,2357.82,2330.07,2357.77,NA,1,NA
2024-01-05,2354.32,2335.89,2337.86,NA,1,NA
2024-01-04,2364.72,2347.15,2361.9,NA,1,NA
2024-01-03,2396.13,2345.82,2356.64,NA,1,NA
2024-01-02,2418.15,2384.79,2394.93,NA,1,NA
2023-12-29,2403.19,2390.87,2396.07,NA,1,NA
2023-12-28,2398.91,2384.45,2389.01,NA,1,NA
2023-12-27,2398.86,2378.43,2390.28,NA,1,NA
2023-12-22,2384.03,2365.09,2377.05,NA,1,NA
2023-12-21,2382.93,2364.94,2375.14,NA,1,NA
2023-12-20,2394.61,2376.72,2390.84,NA,1,NA
2023-12-19,2391.41,2376.86,2384.54,NA,1,NA
2023-12-18,2384.7,2371.53,2374.17,NA,1,NA
2023-12-15,2395.44,2373.35,2386.43,NA,1,NA
2023-12-14,2369.17,2351.5,2365.25,NA,1,NA
2023-12-13,2343.26,2322.75,2322.75,NA,1,NA
2023-12-12,2343.29,2331.92,2334.73,NA,1,NA
2023-12-11,2340.31,2312.36,2339.78,NA,1,NA
2023-12-08,2318.94,2286.76,2313.01,NA,1,NA
2023-12-07,2294.16,2279.82,2287.13,NA,1,NA
2023-12-06,2296.33,2265.22,2289.64,NA,1,NA
2023-12-05,2270.27,2249.03,2267.8,NA,1,NA
2023-12-04,2265.19,2248.64,2253.8,NA,1,NA
2023-12-01,2255.21,2236.51,2250.21,NA,1,NA
2023-11-30,2245.15,2227.38,2232.46,NA,1,NA
2023-11-29,2239.51,2212.05,2233,NA,1,NA
2023-11-28,2223.41,2209,2214.81,NA,1,NA
2023-11-27,2232.52,2219.12,2226.85,NA,1,NA
2023-11-24,2231.5,2222.78,2229.37,NA,1,NA
2023-11-23,2231.59,2213.41,2226.34,NA,1,NA
2023-11-22,2223.21,2202.52,2213.18,NA,1,NA
2023-11-21,2208.52,2192.72,2197.08,NA,1,NA
2023-11-20,2208.97,2192.81,2206.34,NA,1,NA
2023-11-17,2203.83,2181.35,2198.83,NA,1,NA
2023-11-16,2190.28,2167.13,2171.53,NA,1,NA
2023-11-15,2199.03,2173.97,2192.97,NA,1,NA
2023-11-14,2170,2121.94,2169.98,NA,1,NA
