date,bid,ask,open,high,low,close,average,total_volume,turnover,trades
2023-06-05,,,2295.09,2311.42,2288.79,2293.06,,1,,0.0
2023-06-02,,,2267.84,2295.03,2266.14,2292.5,,1,,0.0
2023-06-01,,,2248.58,2257.14,2238.39,2252.43,,1,,0.0
2023-05-31,,,2240.16,2259.06,2233.11,2234.96,,1,,0.0
2023-05-30,,,2260.68,2279.43,2253.54,2255.0,,1,,0.0
2023-05-29,,,2283.05,2283.63,2253.34,2258.64,,1,,0.0
2023-05-26,,,2242.09,2276.87,2239.43,2272.2,,1,,0.0
2023-05-25,,,2236.13,2244.19,2221.04,2231.57,,1,,0.0
2023-05-24,,,2250.81,2250.81,2224.41,2229.89,,1,,0.0
2023-05-23,,,2277.08,2282.26,2265.62,2267.34,,1,,0.0
2023-05-22,,,2285.55,2286.61,2276.22,2283.31,,1,,0.0
2023-05-19,,,2280.27,2295.53,2276.88,2288.37,,1,,0.0
2023-05-17,,,2233.18,2248.29,2232.59,2246.2,,1,,0.0
2023-05-16,,,2240.74,2250.84,2230.64,2236.25,,1,,0.0
